<<<<<<< HEAD
"Item","Costs in dollars"
"Monitors",11400
"Thin Clients",24738
"Hand Scanners",14250
"Omega Scanners",14300
"LPN Reel",18608
"Zebra Plus XiIII Plus",5600
"HP LaserJet P4515N",5695
"PS90 Scale",19752
"ZM 600",40800
"Zebra Printers3844",35708
"Gun Holsters",3960
"RF Scanners (100)",83707
"RF Scanner Maintenance (100)",36477
"Diamond Phoenix",80000
"Avalanche Client License (100)",8007
"Total",403002
=======
"Item","Costs in dollars"
"Monitors",11400
"Thin Clients",24738
"Hand Scanners",14250
"Omega Scanners",14300
"LPN Reel",18608
"Zebra Plus XiIII Plus",5600
"HP LaserJet P4515N",5695
"PS90 Scale",19752
"ZM 600",40800
"Zebra Printers3844",35708
"Gun Holsters",3960
"RF Scanners (100)",83707
"RF Scanner Maintenance (100)",36477
"Diamond Phoenix",80000
"Avalanche Client License (100)",8007
"Total",403002
>>>>>>> 30665a03f9af0025ac7f44d3b46a3b6df1db009f
